,Stop,City,lat,lon
0,Cluj Napoca Est,Cluj-napoca,46.778986,23.670864
1,Piața Gării Vechi,Cluj-napoca,46.784347,23.588495
2,Gheorghe Dima,Cluj-napoca,46.752799,23.577883
3,Stop Position,Cluj-napoca,46.7788,23.616945
4,Someș,Cluj-napoca,46.775879,23.604695
5,Baza Unirea,Cluj-napoca,46.751632,23.544695
6,Stop Position,Cluj-napoca,46.755503,23.562242
7,Clăbucet,Cluj-napoca,46.751587,23.544359
332,TERMOROM Sud Tram,Cluj-napoca,46.795982,23.632283
333,TERAPIA Sud Tram,Cluj-napoca,46.797583,23.613144
334,TERAPIA Nord Tram,Cluj-napoca,46.797619,23.613086
335,Plopilor Nord,Cluj-napoca,46.762812,23.559883
336,Uzinei Electrice,Cluj-napoca,46.767211,23.56823
337,Stop Position,Cluj-napoca,46.752178,23.595288
338,Stop Position,Cluj-napoca,46.755272,23.59628
339,Stop Position,Cluj-napoca,46.745442,23.592481
340,Stop Position,Cluj-napoca,46.751042,23.594599
341,Stop Position,Cluj-napoca,46.741459,23.591814
342,Stop Position,Cluj-napoca,46.731247,23.597069
343,Cluj Arena,Cluj-napoca,46.768098,23.570292
344,Poligonului V,Floresti,46.74593,23.49908
345,Sub Cetate V,Floresti,46.739493,23.496075
346,Stop Position,Floresti,46.736517,23.489823
347,Luxor N,Floresti,46.736556,23.490688
348,Sub Cetate E,Floresti,46.738899,23.495989
349,VIVO!,Cluj-napoca,46.754309,23.533009
350,M-Cuza Vodă,Floresti,46.743858,23.475027
351,Stop Position,Feleacu,46.717641,23.625456
352,M-Il Milanese,Floresti,46.743899,23.47391
353,M-Chinteni Lac,Chinteni,46.875452,23.523807
354,M-Primaria Chinteni,Chinteni,46.861218,23.539907
355,Habitat,Chinteni,46.869779,23.529314
356,M-Dumitru Tautan,Floresti,46.741396,23.470981
357,M-Șesu de Sus,Floresti,46.741304,23.465958
358,M-Prof. Dumitru Mocanu,Floresti,46.742835,23.473443
359,M-Garden,Chinteni,46.846968,23.557194
360,M-Xamus,Chinteni,46.850902,23.548928
361,Stop Position,Cluj-napoca,46.748468,23.581805
362,Piața Mihai Viteazul Est,Cluj-napoca,46.774803,23.591687
363,Observatorului Sud,Cluj-napoca,46.755756,23.593332
364,Disp. Bucium,Cluj-napoca,46.751552,23.54277
365,Grigore Alexandrescu,Cluj-napoca,46.758107,23.556757
366,Răvașului,Cluj-napoca,46.75377,23.550883
367,Metro Sud,Cluj-napoca,46.752472,23.525933
368,Plopilor Sud,Cluj-napoca,46.762849,23.560764
369,Splaiul Independenței,Cluj-napoca,46.767973,23.570104
370,Opera Maghiară Est,Cluj-napoca,46.772119,23.58347
371,Parcul Central,Cluj-napoca,46.771972,23.583707
372,Sala Sporturilor,Cluj-napoca,46.767111,23.567652
373,Facultatea de Litere,Cluj-napoca,46.778007,23.587204
374,Horea,Cluj-napoca,46.777041,23.587107
375,G. Barițiu,Cluj-napoca,46.773518,23.587811
376,Stop Position,Cluj-napoca,46.751035,23.519429
377,Stop Position,Dej,47.141378,23.894316
378,Stop Position,Dej,47.14566,23.87734
379,Stop Position,Dej,47.14425,23.877448
380,Stop Position,Dej,47.137531,23.877867
381,Stop Position,Dej,47.13388,23.880733
382,Stop Position,Cluj-napoca,46.723935,23.579294
383,Stop Position,Cluj-napoca,46.72802,23.586018
384,Podul Fetei,Cluj-napoca,46.825139,23.586717
385,Stop Position,Cluj-napoca,46.828241,23.582864
386,Stop Position,Cluj-napoca,46.780658,23.613809
387,Stop Position,Cluj-napoca,46.782166,23.613144
388,Stop Position,Cluj-napoca,46.776429,23.629218
389,Stop Position,Cluj-napoca,46.776663,23.623815
390,Stop Position,Cluj-napoca,46.777145,23.633856
391,Stop Position,Cluj-napoca,46.777514,23.636169
392,Stop Position,Cluj-napoca,46.777536,23.636324
393,Stop Position,Cluj-napoca,46.778879,23.638864
394,Stop Position,Cluj-napoca,46.776381,23.628902
395,Stop Position,Cluj-napoca,46.776858,23.631907
396,Stop Position,Cluj-napoca,46.777443,23.6231
397,Stop Position,Cluj-napoca,46.778781,23.642245
398,Stop Position,Cluj-napoca,46.743897,23.570768
399,Stop Position,Cluj-napoca,46.748551,23.567533
400,Stop Position,Cluj-napoca,46.748683,23.567436
401,Stop Position,Cluj-napoca,46.751777,23.565428
402,Stop Position,Cluj-napoca,46.771266,23.599168
403,Stop Position,Cluj-napoca,46.773611,23.607531
404,Stop Position,Cluj-napoca,46.776753,23.614408
405,Stop Position,Cluj-napoca,46.749163,23.572846
406,Stop Position,Cluj-napoca,46.753898,23.567604
407,Stop Position,Cluj-napoca,46.765476,23.54945
408,Mălinului Est,Cluj-napoca,46.76031,23.613934
409,Stop Position,Cluj-napoca,46.770386,23.567093
410,Stop Position,Cluj-napoca,46.738172,23.59069
411,Minerva,Cluj-napoca,46.754372,23.554368
412,Cloșca,Cluj-napoca,46.77774,23.587266
413,Stop Position,Cluj-napoca,46.79683,23.654839
414,Stop Position,Cluj-napoca,46.787304,23.634003
415,Stop Position,Cluj-napoca,46.748872,23.581502
416,Stop Position,Cluj-napoca,46.743477,23.585318
417,Stop Position,Cluj-napoca,46.790199,23.655582
418,Stop Position,Cluj-napoca,46.788213,23.653756
419,Stop Position,Cluj-napoca,46.740066,23.58646
420,Stop Position,Cluj-napoca,46.779363,23.693701
